Server listening on 10.120.22.78:6969
CONNECTED: 10.120.101.115:14139
181806.1171234,3772,2304,55808,55296
181806.1261243,3773,2560,56064,55040
181806.1271244,3774,2048,55808,55552
181806.1441261,3775,2048,56064,55552
181806.1581275,3776,2560,55808,55040
181806.1591276,3777,2560,56064,55552
181806.1651282,3778,1536,56064,56320
181806.1921309,3779,2304,55808,55552
181806.2101327,3780,2304,55808,55040
181806.2111328,3781,2560,55552,55296
181806.213133,3782,2048,55552,55296
181806.2551372,3783,2304,55808,54784
181806.2561373,3784,2304,55808,55040
181806.2581375,3785,2048,55808,55296
181806.2591376,3786,2048,55808,55552
181806.2721389,3787,2304,56320,55296
181806.2741391,3788,2048,56064,55296
181806.3061423,3789,2560,55808,55296
181806.3071424,3790,2304,56064,55040
181806.3081425,3791,2304,55808,55296
181806.313143,3792,1792,56064,55296
181806.3451462,3793,2304,55808,54784
181806.3461463,3794,1792,55808,55040
181806.3481465,3795,2304,55808,55296
181806.3521469,3796,2304,55808,55040
181806.3601477,3797,2816,55296,55040
181806.3711488,3798,2560,55808,55552
181806.3991516,3799,2048,55808,55296
181806.4071524,3800,2048,56064,55040
181806.4081525,3801,1792,55808,55808
181806.4141531,3802,2304,55808,55552
181806.4461563,3803,2560,56064,55296
181806.4471564,3804,2304,55808,55296
181806.4491566,3805,2048,56064,55296
181806.4541571,3806,2304,55808,55296
181806.4641581,3807,2560,55808,55296
181806.4741591,3808,2304,56064,55296
181806.5021619,3809,2304,55808,55552
181806.513163,3810,2560,55808,55296
181806.5151632,3811,1792,55552,55040
181806.5261643,3812,2048,55808,55808
181806.5281645,3813,2560,55808,55040
181806.5481665,3814,2304,55808,55296
181806.5501667,3815,2304,55808,55552
181806.5581675,3816,2304,55808,55040
181806.5671684,3817,2048,56320,55552
181806.5761693,3818,2048,55808,55040
181806.6041721,3819,2304,56320,55296
181806.6141731,3820,2560,55552,55552
181806.6161733,3821,2304,55552,55296
181806.6321749,3822,1792,56064,55552
181806.6341751,3823,2048,56064,55040
181806.6521769,3824,2304,56064,55040
181806.6541771,3825,2048,55808,55296
181806.6591776,3826,2048,56064,55552
181806.6691786,3827,2560,56064,54784
181806.6801797,3828,1792,56064,55552
181806.7071824,3829,1792,56064,55296
181806.7211838,3830,2048,55808,55552
181806.7281845,3831,2048,55552,55296
181806.7411858,3832,2304,54784,55040
181806.743186,3833,2048,56064,55296
181806.7451862,3834,2048,55808,55040
181806.7521869,3835,2304,55808,54784
181806.7621879,3836,2304,55808,55296
181806.7741891,3837,2048,55808,54784
181806.7821899,3838,1792,55808,56064
181806.8061923,3839,2048,56320,55552
181806.8191936,3840,2048,56064,55552
181806.8201937,3841,2304,55552,54784
181806.8341951,3842,1792,56320,55552
181806.8421959,3843,1792,56320,55552
181806.8561973,3844,1792,57856,55296
181806.8581975,3845,2304,55808,55296
181806.8641981,3846,2560,55808,54784
181806.8751992,3847,2304,55552,54784
181806.8852002,3848,2048,56064,55040
181806.9072024,3849,2048,55552,55296
181806.9082025,3850,2304,55808,55552
181806.9212038,3851,2048,55552,55296
181806.9272044,3852,2304,56064,55040
181806.9602077,3853,2048,56064,55040
181806.9612078,3854,2048,55808,55296
181806.963208,3855,2304,55808,55296
181806.9692086,3856,2304,55808,55296
181806.9862103,3857,2048,56064,55552
181806.993211,3858,2048,56320,55552
181807.0122129,3859,2560,55552,54784
181807.0142131,3860,2304,56320,55296
181807.0242141,3861,2304,56320,55296
181807.0352152,3862,2048,56064,55552
181807.0612178,3863,2048,56064,55552
181807.063218,3864,2048,56064,55296
181807.0642181,3865,2304,55808,55296
181807.0692186,3866,2560,55552,54784
181807.0802197,3867,2048,56064,55296
181807.0902207,3868,2048,56064,55552
181807.113223,3869,2304,56320,55296
181807.1272244,3870,2048,56064,55552
181807.1282245,3871,2304,56064,55296
181807.1322249,3872,3072,55808,55040
181807.1652282,3873,1792,55808,55552
181807.1662283,3874,2304,55552,55040
181807.1682285,3875,2048,56064,55296
181807.173229,3876,2048,55808,55296
181807.1862303,3877,2304,55808,54784
181807.2302347,3878,2048,55552,55296
181807.2312348,3879,2048,55808,54784
181807.233235,3880,2048,55808,55040
181807.2342351,3881,2048,55808,55296
181807.2402357,3882,2304,55552,55040
181807.2592376,3883,2304,55552,55040
181807.2612378,3884,2304,56064,55296
181807.2842401,3885,2304,55808,55296
